,Full list Index,Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT_x,Blasma,AE,Unnamed: 16,Comments,max_v,min_v,mean_E,estimated_distance_m,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT_y,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time,good_fit
0,390.0,2016-04-12/07:46:00,22,Y,N,3580.0,69,3,-7.127033099999999,-4.028171700000001,-2.208898,8.4793867,9.2349634,1.9826278000000002,,,,,208.50919535148262,28.947312153581567,1824.5,6.956634538167292,16.852080406410728,2016-04-12,2.0,6.0,7.435707760002067,4.0,682.149378458659,8.609733556376993,1460447700.0,-7.189448394212133,-4.201989649299299,-2.24767418667642,2.040939350027467,9.416463854341572,0.0,-58.18239657084147,8.626163673950431,0.32279221825054094,2016-04-12 07:42:30,2.0,3.0176666975021362,-6.099999904632568,-6.5560000737508135,-1.3049999823172886,PARA,0.11457795359156908,BL,390.0,south,outward,30.0,False
1,469.0,2016-04-13/06:28:00,58,Y,Y,13700.0,36,3,-6.438749,-2.4081650000000003,-1.7526422,7.0942584,7.574859399999999,1.3697694999999999,,,,,407.8908682649483,20.90908120889383,6868.0,12.024682063513193,19.976283536238878,2016-04-13,2.0,6.0,5.430080417149809,4.0,710.9161478678387,7.751066730798198,1460530800.0,-6.823328433243652,-3.100672054560416,-1.971996928022952,1.6369995656583107,8.355163762605956,3.0,-77.09996287027995,7.750978491802969,0.27612459301732617,2016-04-13 06:47:30,2.0,3.0839444398880005,-56.66666730244955,-2.886999954779943,-0.8823333531618118,PARA,0.24594417316456485,BL,469.0,south,outward,30.0,False
2,675.0,2016-04-22/14:54:00,20,Y,Y,14400.0,69,3,-7.6615023,-8.5227417,-3.4345263999999998,11.963767,15.852439000000002,3.6756064,,,,,418.1816241778766,28.947312153581567,7234.5,5.8512583004251475,24.77647365100101,2016-04-22,5.0,8.0,9.261082331803037,6.0,2572.1376094818115,11.54175972175791,1461336900.0,-7.653985625111248,-8.522168080488527,-3.4396019594862732,3.6786426316435037,15.856011761174122,0.0,-27.68772292137146,11.960565466320421,0.6451754218981891,2016-04-22 14:37:30,3.375,3.125250071287155,-1.8749999701976776,8.701000094413757,1.1809999728575349,PARA,0.15941861805611923,BL,675.0,south,outward,40.0,False
3,,2016-05-01/21:23:00,14,N,Y,7030.0,36,3,-2.7531987,-6.2445233,-3.4517736000000006,7.647804600000001,10.830908,5.0980155,,,,,292.1873176439513,20.90908120889383,3533.0,2.9659689195179366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
4,535.0,2016-05-06/05:11:00,40,Y,Y,6700.0,36,3,-8.4150141,-1.3876064,-1.588172,8.675263900000001,9.531986,0.64384228,,,,,285.2470097175421,20.90908120889383,3368.0,8.490118684761775,22.51527617017177,2016-05-06,2.0,4.0,1.6612950915441251,2.0,769.303810119629,8.754380245726566,1462512000.0,-8.530817305082115,-1.5271319736644595,-1.6257496689227273,0.6980034822735955,9.70006160851448,0.0,-57.024810791015625,8.81793935789834,0.5047507120822138,2016-05-06 05:12:30,2.0,,-9.349999904632568,,,PARA,0.4357670158511554,BL,535.0,south,outward,20.0,False
5,998.0,2016-05-06/07:42:00,58,Y,N,25600.0,247,3,-9.797702000000001,-3.6771236000000003,-1.9245093999999998,10.639565,11.947649,1.4331151000000002,,,,,557.5754989038354,54.768667598624134,12923.5,33.13751092596975,43.28116164643129,2016-05-06,3.0,4.0,3.8422190696423297,2.0,3489.7530822753906,10.615307879666442,1462521000.0,-9.835496193694063,-3.7846118990933775,-1.9271607764474044,1.46761746237157,12.048603515654843,0.0,-39.40260028839111,10.713469255029906,0.35551098732249153,2016-05-06 07:42:30,2.0,,-14.5,,,PARA,0.14644438680900984,BL,998.0,south,outward,20.0,False
6,,2016-05-14/04:16:00,14,Y,N,6930.0,257,3,-8.553552499999999,-0.38464838,-1.3175424999999998,8.662974900000002,9.5601824,0.17834483,,,,,290.1017284031974,55.866345213133975,3593.5,9.112411339177369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7,341.0,2016-05-15/04:32:00,16,Y,N,3670.0,66,3,-8.9060196,-0.57590386,-1.3821222,9.031008300000002,9.991170599999998,0.25655249,,,,,211.11385255028398,28.311029791117594,1868.0,4.921150937207091,16.06817896070774,2016-05-15,1.0,4.0,3.84197253937779,2.0,480.8928642272949,9.068244418175745,1463287200.0,-9.012791117250195,-0.6838745684197515,-1.4115487123045576,0.30081293075395643,10.127398862535461,0.0,-70.05241966247559,9.148559258126426,0.2068090673068146,2016-05-15 04:32:30,2.0,2.640999972820282,-14.900000095367433,11.085000276565548,1.8670001775026321,PARA,0.14646243940832515,BL,341.0,south,outward,20.0,False
8,803.0,2016-05-16/07:21:00,58,Y,N,25600.0,134,3,-10.573998,-2.7936237,-1.6351417,11.058366,12.462222,1.0376804,,,,,557.5754989038354,40.340018976891805,12867.0,23.726663348972178,31.378783558484923,2016-05-16,4.0,4.0,1.661519466623853,2.0,1489.4034576416018,11.137269841420833,1463385000.0,-10.702672872671412,-3.14776151660179,-1.619285577723469,1.1533005515229096,12.77044738207929,0.0,-39.26796817779541,11.273042341762958,0.4004485278280096,2016-05-16 07:42:30,2.0,1.8582500219345095,-9.049999952316284,2.3072500228881836,0.8150000087916851,PARA,0.435718130963882,BL,803.0,south,outward,20.0,False
9,935.0,2016-05-16/10:56:00,26,Y,Y,14200.0,246,3,-10.772249,-5.0758449,-1.4159918,11.992105,14.3653,1.8409624,,,,,415.2674310142288,54.657687408397855,7223.0,15.394734990455376,35.13863278660378,2016-05-16,5.0,7.0,7.472849562720348,5.0,1809.6974007742745,11.66252553418876,1463397150.0,-10.710994157053118,-5.229217565538284,-1.4056939974766787,1.908010360263264,14.48974467034789,0.0,-39.123540605817524,12.002265713500572,0.3309779887698512,2016-05-16 10:57:30,3.0,2.3674999475479126,-10.742856979370117,4.2427144050598145,-2.9870714204651967,PARA,0.18778097692634677,BL,935.0,south,outward,35.0,False
