Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT
2017-03-09/12:32:00,34,Y,N,3235,57,3,-3.29047,3.94578,-1.62967,5.38886,6.10589,20.8352
2017-03-27/19:58:00,68,N,Y,1194,1,1,-3.13936,3.55615,-0.215698,4.74848,5.16278,20.3307
2017-03-28/10:25:00,48,Y,Y,590,3,1,-0.103697,5.21291,-1.56782,5.44687,5.97393,18.3622
2017-03-29/16:05:00,68,Y,Y,1397,2,1,-2.51806,4.39253,-1.47016,5.27167,5.86967,19.8347
2017-03-31/02:56:00,69,Y,Y,2417,4,4,-2.00535,5.33406,-0.179985,5.69997,5.92609,19.4291
2017-03-31/04:34:00,29,Y,Y,653,4,4,-3.1034,3.5356,-0.226545,4.70453,4.94155,20.9756
2017-03-31/11:24:00,63,Y,Y,2048,5,3,-1.62513,5.27156,-1.67004,5.76334,6.45897,19.26
2017-04-01/06:30:00,78,N,Y,915,1,3,-2.60105,4.68158,-0.826061,5.4157,5.74058,20.2858
2017-04-01/15:47:00,51,Y,Y,590,4,1,-2.74638,4.34259,-0.865843,5.20633,5.82601,19.8417
2017-04-09/03:18:00,47,N,Y,1685,2,3,-1.50969,5.31077,-1.68215,4.80482,5.05187,20.471
